#Cas(sec) 	#srazky(mm)	#Vypary(mm)
1303200	0	-0.0179480800
1306800	0	-0.0179480800
1310400	0.1	-0.0179480800
1314000	0.2	-0.0179480800
1317600	0.2	-0.0179480800
1321200	0	-0.0179480800
1324800	0	-0.0179480800
1328400	0	-0.0179480800
1332000	0.1	-0.0179480800
1335600	0	-0.0179480800
1339200	0	-0.0179480800
1342800	0	-0.0179480800
1346400	0	-0.0179480800
1350000	0	-0.0179480800
1353600	0.1	-0.0179480800
1357200	0	-0.0179480800
1360800	0	-0.0179480800
1364400	0	-0.0179480800
1368000	0	-0.0179480800
1371600	0	-0.0179480800
1375200	0	-0.0179480800
1378800	0	-0.0179480800
1382400	0	-0.0019142300
1386000	0	-0.0019142300
1389600	0	-0.0019142300
1393200	0	-0.0019142300
1396800	0	-0.0019142300
1400400	0	-0.0019142300
1404000	0	-0.0019142300
1407600	0	-0.0019142300
1411200	0	-0.0019142300
1414800	0	-0.0019142300
1418400	0	-0.0019142300
1422000	0	-0.0019142300
1425600	0	-0.0019142300
1429200	0	-0.0019142300
1432800	0	-0.0019142300
1436400	0	-0.0019142300
1440000	0	-0.0019142300
1443600	0	-0.0019142300
1447200	0	-0.0019142300
1450800	0	-0.0019142300
1454400	0	-0.0019142300
1458000	0	-0.0019142300
1461600	0	-0.0019142300
1465200	0	-0.0019142300
1468800	0	0.0000000000
1472400	0	0.0000000000
1476000	0	0.0000000000
1479600	0	0.0000000000
1483200	0	0.0000000000
1486800	0	0.0000000000
1490400	0	0.0000000000
1494000	0	0.0000000000
1497600	0	0.0000000000
1501200	0	0.0000000000
1504800	0	0.0000000000
1508400	0	0.0000000000
1512000	0	0.0000000000
1515600	0	0.0000000000
1519200	0	0.0000000000
1522800	0	0.0000000000
1526400	0	0.0000000000
1530000	0	0.0000000000
1533600	0	0.0000000000
1537200	0	0.0000000000
1540800	0	0.0000000000
1544400	0	0.0000000000
1548000	0	0.0000000000
1551600	0	0.0000000000
1555200	0	0.0000000000
1558800	0	0.0000000000
1562400	0	0.0000000000
1566000	0	0.0000000000
1569600	0	0.0000000000
1573200	0	0.0000000000
1576800	0	0.0000000000
1580400	0	0.0000000000
1584000	0	0.0000000000
1587600	0	0.0000000000
1591200	0	0.0000000000
1594800	0	0.0000000000
1598400	0	0.0000000000
1602000	0	0.0000000000
1605600	0	0.0000000000
1609200	0	0.0000000000
1612800	0	0.0000000000
1616400	0	0.0000000000
1620000	0	0.0000000000
1623600	0	0.0000000000
1627200	0	0.0000000000
1630800	0	0.0000000000
1634400	0	0.0000000000
1638000	0	0.0000000000
1641600	0	0.0000000000
1645200	0	0.0000000000
1648800	0	0.0000000000
1652400	0	0.0000000000
1656000	0	0.0000000000
1659600	0	0.0000000000
1663200	0	0.0000000000
1666800	0	0.0000000000
1670400	0	0.0000000000
1674000	0	0.0000000000
1677600	0	0.0000000000
1681200	0	0.0000000000
1684800	0	0.0000000000
1688400	0	0.0000000000
1692000	0	0.0000000000
1695600	0	0.0000000000
1699200	0	0.0000000000
1702800	0	0.0000000000
1706400	0	0.0000000000
1710000	0	0.0000000000
1713600	0	0.0000000000
1717200	0	0.0000000000
1720800	0	0.0000000000
1724400	0	0.0000000000
1728000	0	-0.0020259900
1731600	0	-0.0020259900
1735200	0	-0.0020259900
1738800	0	-0.0020259900
1742400	0	-0.0020259900
1746000	0	-0.0020259900
1749600	0	-0.0020259900
1753200	0	-0.0020259900
1756800	0	-0.0020259900
1760400	0	-0.0020259900
1764000	0	-0.0020259900
1767600	0	-0.0020259900
1771200	0	-0.0020259900
1774800	0	-0.0020259900
1778400	0	-0.0020259900
1782000	0	-0.0020259900
1785600	0	-0.0020259900
1789200	0	-0.0020259900
1792800	0	-0.0020259900
1796400	0	-0.0020259900
1800000	0	-0.0020259900
1803600	0	-0.0020259900
