					
#					
#	POINT	1	[pressure	head	cm]
#					
#					
#					
#	Obs	Obs	Obs		
1340	-15	-16.8		22.49380969	
1340	-15.5	-16.9		22.59992925	
1350	-15.4	-16.9		22.70604881	
1350	-15.5	-16.9		22.81216838	
1360	-15.5	-16.8		22.91828794	
1360	-15.4	-17		23.0244075	
1370	-15.4	-17.2		23.13052706	
1370	-15.7	-16.9		23.23664662	
1380	-15.3	-16.7		23.34276618	
1380	-15.2	-16.6		23.44888574	
1390	-15	-16.7		23.55500531	
1390	-15.2	-16.6		23.66112487	
1400	-14.9	-16.7		23.76724443	
1400	-15.2	-16.7		23.87336399	
1410	-15.2	-16.7		23.97948355	
1410	-15	-16.7		24.08560311	
1420	-15.2	-17.1		24.19172267	
1420	-15.6	-17		24.29784224	
1430	-15.6	-16.7		24.4039618	
1430	-15.4	-16.6		24.51008136	
1440	-14.8	-16.5		24.61620092	
1440	-16.2	-16		24.72232048	
1450	-16.3	-16		24.82844004	
1450	-16	-15.8		24.9345596	
1460	-15.7	-16		25.04067917	
1460	-16.1	-15.9		25.14679873	
1470	-16	-16.1		25.25291829	
1470	-16.3	-16.4		25.35903785	
1480	-16.6	-16.1		25.46515741	
1480	-16.2	-15.9		25.57127697	
1490	-16.1	-15.7		25.67739653	
1490	-15.4	-15.8		25.78351609	
1500	-16.1	-15.8		25.88963566	
1500	-16	-15.9		25.99575522	
1510	-16.3	-15.7		26.10187478	
1510	-15.7	-15.8		26.20799434	
1520	-15.8	-15.9		26.3141139	
1520	-16	-16.1		26.42023346	
1530	-16.3	-15.8		26.52635302	
1530	-15.8	-15.6		26.63247259	
1540	-15.8	-15.6		26.73859215	
1540	-15.5	-15.5		26.84471171	
1550	-15.5	-15.5		26.95083127	
1550	-15.6	-15.6		27.05695083	
1560	-15.7	-15.6		27.16307039	
1560	-15.8	-15.7		27.26918995	
1570	-15.7	-15.9		27.37530952	
1570	-16	-15.9		27.48142908	
1580	-16.1	-15.5		27.58754864	
1580	-15.7	-15.3		27.6936682	
1590	-15.5	-15.4		27.79978776	
1590	-15.6	-15.4		27.90590732	
1600	-15.6	-15.4		28.01202688	
1600	-15.6	-15.4		28.11814644	
1610	-15.5	-15.5		28.22426601	
1610	-15.7	-15.7		28.33038557	
1620	-15.8	-15.7		28.43650513	
1620	-15.9	-15.4		28.54262469	
1630	-15.4	-15.3		28.64874425	
1630	-15.4	-15.3		28.75486381	
1640	-15.5	-15		28.86098337	
1640	-14.5	-15.2		28.96710294	
1650	-15.2	-15.2		29.0732225	
1650	-15.5	-15.2		29.17934206	
1660	-15.4	-15.3		29.28546162	
1660	-15.5	-15.4		29.39158118	
1670	-15.6	-15.5		29.49770074	
1670	-15.7	-15.2		29.6038203	
1680	-15.4	-15.1		29.70993987	
1680	-15.2	-15.1		29.81605943	
1690	-15.3	-15		29.92217899	
1690	-15	-15.1		30.02829855	
1700	-15.4	-15.1		30.13441811	
1700	-15.3	-15.1		30.24053767	
1710	-15.4	-15.4		30.34665723	
1710	-15.7	-15.5		30.4527768	
1720	-15.6	-13.9		30.55889636	
1720	-16	-16.2		30.66501592	
1730	-16.3	-16.2		30.77113548	
1730	-16.5	-15.8		30.87725504	
1740	-15.7	-18.7		30.9833746	
1740	-18.7	-18.7		31.08949416	
1750	-18.7	-18.6		31.19561372	
1750	-18.7	-18.7		31.30173329	
1760	-18.7	-18.8		31.40785285	
1760	-18.9	-18.6		31.51397241	
1770	-18.6	-18.4		31.62009197	
1770	-18.4	-18.3		31.72621153	
1780	-18.4	-18.3		31.83233109	
1780	-18.4	-18.4		31.93845065	
1790	-18.4	-18.4		32.04457022	
1790	-18.2	-18.4		32.15068978	
1800	-18.5	-18.6		32.25680934	
1800	-18.7	-18.7		32.3629289	
1810	-18.9	-18.6		32.46904846	
1810	-18.6	-18.5		32.57516802	
1820	-18.3	-18.5		32.68128758	
1820	-18.4	-18.6		32.78740715	
1830	-18.5	-18.6		32.89352671	
1830	-18.6	-18.6		32.99964627	
1840	-18.4	-18.6		33.10576583	
1840	-18.5	-18.7		33.21188539	
1850	-18.6	-18.9		33.31800495	
1850	-19.1	-18.8		33.42412451	
1860	-18.9	-18.6		33.53024407	
1860	-18.7	-18.5		33.63636364	
1870	-18.3	-18.7		33.7424832	
1870	-18.8	-18.6		33.84860276	
1880	-18.6	-18.6		33.95472232	
1880	-18.4	-18.6		34.06084188	
1890	-18.6	-18.7		34.16696144	
1890	-18.3	-18.9		34.273081	
1900	-18.9	-18.9		34.37920057	
1900	-18.9	-18.7		34.48532013	
1910	-18.7	-18.6		34.59143969	
1910	-18.7	-18.6		34.69755925	
1920	-18.3	-18.6		34.80367881	
1920	-18.5	-18.6		34.90979837	
1930	-18.6	-18.7		35.01591793	
1930	-18.7	-18.8		35.1220375	
1940	-18.7	-19		35.22815706	
1940	-19.1	-18.9		35.33427662	
1950	-18.5	-18.6		35.44039618	
1950	-18.2	-18.6		35.54651574	
1960	-18.6	-18.6		35.6526353	
1960	-18.5	-18.7		35.75875486	
1970	-18.8	-18.7		35.86487443	
1970	-18.8	-18.7		35.97099399	
1980	-18.8	-18.9		36.07711355	
1980	-18.8	-19		36.18323311	
1990	-19.2	-18.9		36.28935267	
1990	-18.8	-18.8		36.39547223	
2000	-18.8	-18.7		36.50159179	
2000	-18.8	-18.8		36.60771135	
2010	-18.9	-18.8		36.71383092	
2010	-18.6	-18.8		36.81995048	
2020	-18.8	-18.8		36.92607004	
2020	-18.8	-19		37.0321896	
2030	-18.9	-19.1		37.13830916	
2030	-19.1	-19		37.24442872	
2040	-18.9	-18.8		37.35054828	
2040	-18.7	-18.9		37.45666785	
2050	-18.8	-18.8		37.56278741	
2050	-18.6	-18.9		37.66890697	
2060	-18.7	-18.9		37.77502653	
2060	-18.7	-19		37.88114609	
2070	-19.1	-19.2		37.98726565	
2070	-19.2	-19.3		38.09338521	
2080	-19.4	-19.1		38.19950478	
2080	-19.2	-18.9		38.30562434	
2090	-19	-18.8		38.4117439	
2090	-18.8	-18.8		38.51786346	
2100	-18.6	-18.8		38.62398302	
2100	-18.8	-18.8		38.73010258	
2110	-18.9	-18.9		38.83622214	
2110	-18.9	-19		38.9423417	
2120	-19	-19.2		39.04846127	
2120	-19.3	-19		39.15458083	
2130	-19	-18.8		39.26070039	
2130	-18.6	-18.7		39.36681995	
